Numero De Terminos    |     Aproximacion      |  Diferencia con acos(-1) 
-----------------------------------------------------------------------------------------0     |0.000000-3.141593
1     |4.000000                                    0.858407
2     |2.666667-0.474926
3     |3.4666670.325074
4     |2.895238-0.246355
5     |3.3396830.198090
6     |2.976046-0.165546
7     |3.2837380.142146
8     |3.017072-0.124521
9     |3.2523660.110773
10     |3.041840-0.099753
11     |3.2323160.090723
12     |3.058403-0.083190
13     |3.2184030.076810
14     |3.070255-0.071338
15     |3.2081860.066593
16     |3.079153-0.062439
17     |3.2003660.058773
18     |3.086080-0.055513
19     |3.1941880.052595
20     |3.091624-0.049969
